species,country_of_origin,region,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,color,altitude_low_meters,altitude_high_meters,altitude_mean_meters,grading_date,total_cup_points,owner,variety,altitude
Arabica,Ethiopia,oromiya,NA,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,0.05,NA,1570,1700,1635,"August 31st, 2010",87.83,ethiopia commodity exchange,NA,1570-1700
Arabica,United States,antioquia,Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,0,NA,2080,2080,2080,"March 13th, 2015",87.58,cqi q coffee sample representative,Other,meters above sea level: 2.080
Arabica,Indonesia,sulawesi,NA,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,0.03,NA,1200,1800,1500,"May 31st, 2010",87.42,grounds for health admin,NA,1200-1800m
Arabica,Ethiopia,yirgacheffe,NA,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,0.05,NA,NA,NA,NA,"June 16th, 2010",87.33,ethiopia commodity exchange,NA,NA
Arabica,China,yunnan,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,0.1,Green,1450,1450,1450,"April 7th, 2016",87.25,yunnan coffee exchange,Catimor,1450
Arabica,Ethiopia,gedio,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,0,NA,1700,2000,1850,"March 25th, 2015",87.25,essencecoffee,Ethiopian Yirgacheffe,1700-2000m
Arabica,United States,antioquia,Washed / Wet,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,0,None,2019,2019,2019,"March 13th, 2015",87.25,cqi q coffee sample representative,Other,meters above sea level: 2.019
Arabica,Costa Rica,san ramon,Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,0.11,Green,1300,1300,1300,"April 2nd, 2014",87.17,the coffee source inc.,Caturra,1300 msnm
Arabica,Mexico,xalapa,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,0.13,Green,1320,1320,1320,"July 26th, 2012",87.17,roberto licona franco,Other,1320
Arabica,United States,antioquia,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,0,NA,2112,2112,2112,"March 13th, 2015",87.08,cqi q coffee sample representative,Other,meters above sea level: 2.112
Arabica,Ethiopia,sidamo,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,0.11,Bluish-Green,NA,NA,NA,"September 3rd, 2013",87.08,ji-ae ahn,NA,NA
Arabica,Brazil,south of minas,Natural / Dry,8.5,8.5,8,8,8,8,10,10,10,7.92,0.12,Green,1250,1250,1250,"December 3rd, 2011",86.92,nucoffee,Bourbon,1250m
Arabica,Ethiopia,sidamo,NA,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,0.05,NA,NA,NA,NA,"June 16th, 2010",86.92,ethiopia commodity exchange,NA,NA
Arabica,Uganda,kapchorwa eastern,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,0.12,Green,1950,1950,1950,"June 26th, 2014",86.83,kabum trading company,SL14,1950
Arabica,Honduras,comayagua,NA,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,0.1,Green,1400,1400,1400,"May 18th, 2017",86.67,bismarck castro,Caturra,1400
Arabica,Taiwan,"leye, alishan township, chiayi county",Pulped natural / honey,8,8,8,8.25,8,8.17,10,10,10,8.17,0,Green,1200,1200,1200,"May 18th, 2016",86.58,"lin, che-hao krude 林哲豪",Sumatra,1200
Arabica,Nicaragua,NA,NA,7.92,8.25,8,8.33,8,8.08,10,10,10,8,0.08,NA,NA,NA,NA,"May 18th, 2010",86.58,nora zeas,NA,NA
Arabica,"Tanzania, United Republic Of",NA,Natural / Dry,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,0.11,Bluish-Green,NA,NA,NA,"September 3rd, 2013",86.5,specialty coffee-korea,NA,NA
Arabica,Brazil,vale da grama,Natural / Dry,8.5,8.17,8,7.75,8,8,10,10,10,8,0.12,Green,1300,1300,1300,"December 3rd, 2011",86.42,nucoffee,Bourbon,1300
Arabica,Costa Rica,west and central valley,Washed / Wet,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,0,Blue-Green,1300,1300,1300,"December 3rd, 2015",86.33,francisco a mena,Caturra,1300
Arabica,Ethiopia,oromia,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,0.1,Green,1750,1800,1775,"March 27th, 2015",86.25,hider abamecha,NA,1750-1800
Arabica,Kenya,muranga,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,0.12,Blue-Green,1800,1800,1800,"May 30th, 2014",86.25,daniel magu,SL34,1800
Arabica,United States (Hawaii),kona,Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,0,NA,NA,NA,NA,"April 6th, 2012",86.25,kona pacific farmers cooperative,Hawaiian Kona,NA
Arabica,United States (Hawaii),kona,NA,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,0,NA,NA,NA,NA,"January 28th, 2011",86.25,kona pacific farmers cooperative,NA,NA
Arabica,Ethiopia,yirgacheffe,NA,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,0.1,NA,NA,NA,NA,"June 17th, 2010",86.25,ethiopia commodity exchange,NA,NA
Arabica,United States,antioquia,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,0,NA,1941,1941,1941,"March 13th, 2015",86.17,cqi q coffee sample representative,Other,meters above sea level: 1.941
Arabica,Thailand,chiang rai,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,0.1,Green,1300,1300,1300,"April 12th, 2012",86.17,itdp international,Caturra,1300
Arabica,Brazil,sul de minas - carmo de minas,NA,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,0.08,NA,12,12,12,"January 4th, 2011",86.17,jacques pereira carneiro,Yellow Bourbon,1.2
Arabica,Brazil,sul de minas - carmo de minas,NA,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,0.01,NA,12,12,12,"January 4th, 2011",86.17,jacques pereira carneiro,Yellow Bourbon,1.2
Arabica,Taiwan,natou county,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,0.12,Green,1000,1000,1000,"June 10th, 2015",86.08,"lin, che-hao krude 林哲豪",Bourbon,1000 m
Arabica,Kenya,nyeri,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10,10,10,8,0.11,Bluish-Green,1754,1754,1754,"January 29th, 2015",86.08,jungle estate,SL28,1754
Arabica,Brazil,south of minas,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,10,8,0.11,Blue-Green,1250,1250,1250,"December 3rd, 2011",86.08,nucoffee,Bourbon,1250m
Arabica,Uganda,eastern uganda,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,0,NA,NA,NA,NA,"October 1st, 2014",86,great lakes coffee uganda,NA,NA
Arabica,Colombia,tolima,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,0.12,Green,900,1500,1200,"March 20th, 2014",86,lusso lab,Caturra,900-1500m
Arabica,Kenya,kiambu,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,0.11,Green,1520,2200,1860,"February 6th, 2014",86,lusso lab,SL28,1520m-2200m
Arabica,Uganda,"sipi, mt elgon",Washed / Wet,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,0.1,Blue-Green,1400,1900,1650,"February 13th, 2012",86,afca,Other,1400-1900m
Arabica,Ethiopia,sidamo,NA,7.75,8.08,8,8.25,8,8,10,10,10,7.92,0.01,NA,1500,2000,1750,"June 17th, 2010",86,ethiopia commodity exchange,NA,1500-2000 m
Arabica,United States (Hawaii),kona,NA,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,0,NA,426.72,426.72,426.72,"May 31st, 2010",86,grounds for health admin,NA,1400ft
Arabica,Guatemala,nuevo oriente,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,0.1,Green,NA,NA,NA,"May 16th, 2016",85.92,juan luis alvarado romero,Bourbon,NA
Arabica,Uganda,eastern,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,0.12,Green,1400,1900,1650,"June 30th, 2014",85.92,kawacom uganda ltd,SL14,1400-1900
Arabica,Colombia,huila,Washed / Wet,8,8,8,8.17,7.83,8,10,10,10,7.92,0,Blue-Green,1800,1800,1800,"July 26th, 2013",85.92,exportadora de cafe condor s.a,Caturra,1800 msnm
Arabica,Panama,boquete,Washed / Wet,8,8,7.92,8.08,7.83,8,10,10,10,8,0.08,Bluish-Green,1600,1600,1600,"October 9th, 2017",85.83,gonzalo hernandez,Gesha,1600
Arabica,Ethiopia,oromia,Washed / Wet,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,0.1,Green,1800,2000,1900,"April 4th, 2015",85.83,ibrahim hussien speciality coffee producer &export,NA,1800-2000
Arabica,Guatemala,acatenango,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,10,8,0.12,Green,1524,1524,1524,"July 3rd, 2012",85.83,juan luis alvarado romero,Bourbon,5000
Arabica,Guatemala,nuevo oriente,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,10,10,8,0.1,Bluish-Green,1417.32,1417.32,1417.32,"June 5th, 2012",85.83,juan luis alvarado romero,Catuai,4650
Arabica,Ethiopia,addis ababa,Natural / Dry,7.83,8,7.83,8.17,7.92,8,10,10,10,8,0.09,None,NA,NA,NA,"June 23rd, 2017",85.75,seid damtew coffee planataion,Caturra,NA
Arabica,Peru,cajamarca,Washed / Wet,8,8,8,8.08,7.92,7.75,10,10,10,8,0.1,Green,NA,NA,NA,"January 22nd, 2014",85.75,dane loraas,NA,NA
Arabica,Papua New Guinea,eastern highlands province,Washed / Wet,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,0.12,Bluish-Green,1700,1700,1700,"October 25th, 2012",85.75,"colbran coffeelands, ltd.",NA,1700 mts
Arabica,El Salvador,apaneca,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,0.1,Blue-Green,1500,1500,1500,"March 18th, 2013",85.58,atlantic specialty coffee,Bourbon,1500 meters
Arabica,El Salvador,"ataco, apaneca - ilamatepec mountain range",Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,0.11,None,1300,1400,1350,"January 12th, 2013",85.58,lusso lab,Bourbon,1300~1400 m.s.l
Arabica,United States (Hawaii),kona,Natural / Dry,7.83,8,7.92,7.75,8.08,8,10,10,10,8,0,NA,NA,NA,NA,"April 6th, 2012",85.58,kona pacific farmers cooperative,Hawaiian Kona,NA
Arabica,Panama,boquete,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,0.09,NA,1680,1680,1680,"May 23rd, 2015",85.5,essencecoffee,Caturra,1680
Arabica,Kenya,kirinyaga,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,0.1,Green,1900,1900,1900,"May 23rd, 2015",85.5,essencecoffee,SL28,1900m
Arabica,Ethiopia,oromia,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,0.12,Green,1800,2000,1900,"March 31st, 2015",85.5,assefa belay coffee producer,Other,1800-2000
Arabica,Uganda,bulambuli eastern region,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,0.12,Green,1600,1600,1600,"June 26th, 2014",85.5,kyagalanyi ltd,SL14,1600
Arabica,Guatemala,huehuetenango,Washed / Wet,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,0.11,Green,1706.88,1755.648,1731.264,"February 26th, 2013",85.5,juan luis alvarado romero,Bourbon,5600-5760 metros
Arabica,Ethiopia,oromia,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,0.1,Green,1800,2000,1900,"March 31st, 2015",85.42,assefa belay coffee producer,NA,1800-2000
Arabica,Uganda,kapchorwa,Washed / Wet,8.08,8,7.83,7.67,8,7.83,10,10,10,8,0.12,Green,1950,1950,1950,"June 26th, 2014",85.42,great lakes coffee uganda,SL14,1950
Arabica,United States (Hawaii),kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,0,NA,NA,NA,NA,"April 6th, 2012",85.42,kona pacific farmers cooperative,Hawaiian Kona,NA
Arabica,Brazil,south of minas,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,10,10,8,0.11,Blue-Green,1250,1250,1250,"December 3rd, 2011",85.42,nucoffee,Bourbon,1250m
Arabica,El Salvador,apaneca,NA,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,0.01,NA,1400,1400,1400,"May 31st, 2010",85.42,grounds for health admin,NA,1400 m
Arabica,China,yunnan,Natural / Dry,8,8,8,7.83,7.83,7.75,10,10,10,7.92,0.1,Green,1700,1700,1700,"April 6th, 2016",85.33,yunnan coffee exchange,Catimor,1700
Arabica,Guatemala,huehuetenango,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,0.11,Green,1770,1770,1770,"May 23rd, 2015",85.33,essencecoffee,Pacamara,1770
Arabica,Costa Rica,west valley,Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,0,Bluish-Green,1300,1300,1300,"May 1st, 2014",85.33,the coffee source inc.,Caturra,1300
Arabica,Costa Rica,san ramon,Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,0.1,Bluish-Green,1300,1300,1300,"May 1st, 2014",85.33,the coffee source inc.,Caturra,1300 msnm
Arabica,Kenya,central kenya,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,0,Green,1600,1600,1600,"April 19th, 2013",85.33,rashid moledina & co. (msa) ltd.,SL34,above 1600 m
Arabica,Kenya,central kenya,Washed / Wet,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,0,Green,1200,1200,1200,"March 12th, 2013",85.33,ibero kenya limited,SL34,above 1200 m
Arabica,Ethiopia,yirgacheffe,NA,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,0.05,NA,NA,NA,NA,"June 17th, 2010",85.33,ethiopia commodity exchange,NA,NA
Arabica,Ethiopia,yirgacheffe,NA,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,0.1,NA,NA,NA,NA,"June 17th, 2010",85.33,ethiopia commodity exchange,Typica,NA
Arabica,Guatemala,oriente,NA,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,0.1,Green,NA,NA,NA,"April 27th, 2016",85.25,juan luis alvarado romero,Bourbon,NA
Arabica,Colombia,santander,Washed / Wet,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,0.11,Green,1550,1550,1550,"April 8th, 2015",85.25,exportadora de cafe condor s.a,Caturra,1550 msnm
Arabica,Colombia,santander,Natural / Dry,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,0.12,Green,1550,1550,1550,"January 17th, 2014",85.25,compañia colombiana agroindustrial s.a,Caturra,1550
Arabica,Indonesia,lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,0.11,Green,1250,1400,1325,"November 26th, 2012",85.17,"nomura trading co., ltd.",Sumatra Lintong,1250-1400 meter
Arabica,Guatemala,huehuetenango,Washed / Wet,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,0,NA,1400,1400,1400,"January 18th, 2012",85.17,the coffee source inc.,Caturra,1400 msm
Arabica,Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",Natural / Dry,7.75,8,7.58,8,8,7.92,10,10,10,7.83,0.11,Green,NA,NA,NA,"August 9th, 2016",85.08,seid damtew coffee planataion,Other,NA
Arabica,Colombia,pasto,Natural / Dry,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,0,NA,2560,2560,2560,"August 18th, 2015",85.08,carcafe ltda ci,Caturra,2.560 msnm
Arabica,Ethiopia,aricha,Natural / Dry,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,0.1,Green,1700,1700,1700,"October 7th, 2014",85.08,steven kil,NA,1700
Arabica,United States (Hawaii),kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,0.11,Bluish-Green,NA,NA,NA,"March 10th, 2014",85.08,eileen koyanagi,Hawaiian Kona,NA
Arabica,Colombia,cundinamarca,Natural / Dry,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,0.11,Green,2136,2136,2136,"March 16th, 2012",85.08,carcafe ltda ci,Caturra,2136 msnm
Arabica,United States (Hawaii),kona,NA,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,0.01,NA,NA,NA,NA,"December 27th, 2010",85.08,kona pacific farmers cooperative,NA,NA
Arabica,Ethiopia,sidamo,NA,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,0,NA,NA,NA,NA,"June 17th, 2010",85.08,ethiopia commodity exchange,NA,NA
Arabica,United States (Hawaii),kona,NA,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,0,NA,NA,NA,NA,"May 17th, 2010",85.08,kona pacific farmers cooperative,NA,NA
Arabica,Uganda,eastern uganda,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,0.11,Green,1800,1800,1800,"July 24th, 2017",85,kyagalanyi coffee ltd,SL14,1800
Arabica,Colombia,huila,Washed / Wet,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,0,Green,NA,NA,NA,"February 15th, 2017",85,racafe & cia s.c.a,Caturra,NA
Arabica,Costa Rica,tarrazu,Washed / Wet,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,0.12,Green,1900,1900,1900,"January 30th, 2017",85,troy quimby,Catuai,1900
Arabica,Mexico,veracruz,Washed / Wet,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,0.09,Green,1300,1300,1300,"September 21st, 2016",85,"el equimite, cafetal biodinámico",Typica,1300
Arabica,Kenya,NA,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,0.11,Green,1,1,1,"May 7th, 2016",85,simon mahinda,NA,-1
Arabica,Kenya,central kenya,Washed / Wet,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,0,Green,1580,1580,1580,"April 19th, 2013",85,rashid moledina & co. (msa) ltd.,SL34,1580
Arabica,Brazil,grama valley,Natural / Dry,8,8,7.83,7.83,7.67,7.67,10,10,10,8,0.12,Green,1100,1100,1100,"February 29th, 2012",85,nucoffee,Mundo Novo,1100m
Arabica,Mexico,mexico,NA,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,0,NA,1400,1400,1400,"April 6th, 2011",85,young kim,Pacamara,1400 masl
Arabica,United States (Hawaii),kona,NA,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,0,NA,NA,NA,NA,"February 24th, 2011",85,kona pacific farmers cooperative,NA,NA
Arabica,Guatemala,"chuva, san marcos",NA,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,0.04,NA,1066.8,1584.96,1325.88,"September 7th, 2010",85,carl walker,NA,3500-5200 feet
Arabica,Colombia,huila,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,0,NA,NA,NA,NA,"November 25th, 2016",84.92,racafe & cia s.c.a,Caturra,NA
Arabica,Colombia,huila,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,0.12,Green,1600,1950,1775,"October 26th, 2015",84.92,racafe & cia s.c.a,Caturra,de 1600 a 1950 msnm
Arabica,Taiwan,natou county,Semi-washed / Semi-pulped,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,0.11,Green,800,800,800,"June 9th, 2015",84.92,"lin, che-hao krude 林哲豪",Typica,800 m
Arabica,"Tanzania, United Republic Of",mbeya,Washed / Wet,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,0.12,Green,1620,1620,1620,"December 12th, 2014",84.92,taylor winch (t) ltd,Other,1620m
Arabica,Colombia,huila,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,0.11,Green,1600,1950,1775,"December 11th, 2012",84.92,racafe & cia s.c.a,Caturra,de 1600 a 1950 msnm
Arabica,Mexico,coatepec,Semi-washed / Semi-pulped,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,0.11,NA,1200,1200,1200,"July 11th, 2012",84.92,artemio zapata tejeda,Typica,1200
Arabica,Brazil,south of minas,Natural / Dry,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,0.11,Green,1200,1200,1200,"December 23rd, 2011",84.92,nucoffee,Bourbon,1200m
Arabica,Brazil,south of minas,Natural / Dry,8,8,7.75,8,7.5,7.75,10,10,10,7.92,0.12,Green,1000,1000,1000,"December 3rd, 2011",84.92,nucoffee,Catuai,1000 m
Arabica,Kenya,NA,NA,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,0.06,NA,NA,NA,NA,"August 26th, 2010",84.92,brian speckman,NA,NA
Arabica,Taiwan,"dongshan dist., tainan city 臺南市東山區",Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,0,Green,350,350,350,"May 18th, 2016",84.83,"lin, che-hao krude 林哲豪",Typica,350
Arabica,Uganda,eastern,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,0.12,Green,1400,1900,1650,"June 30th, 2014",84.83,kawacom uganda ltd,SL14,1400-1900
Arabica,United States (Hawaii),kona,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,0,NA,NA,NA,NA,"April 6th, 2012",84.83,kona pacific farmers cooperative,Hawaiian Kona,NA
Arabica,Ethiopia,sidamo,NA,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,0.1,NA,1500,2000,1750,"June 17th, 2010",84.83,ethiopia commodity exchange,NA,1500-2000 m
Arabica,Ethiopia,sidamo,NA,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,0.1,NA,1500,2000,1750,"June 17th, 2010",84.83,philip schluter,NA,1500-2000 m
Arabica,Thailand,thailand,Pulped natural / honey,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,0.12,Green,NA,NA,NA,"June 27th, 2016",84.75,松澤宏樹 koju matsuzawa,Caturra,NA
Arabica,Kenya,nyeri,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,0.13,Green,1800,1800,1800,"June 2nd, 2015",84.75,lydiah mwangi,SL34,1800
Arabica,Honduras,marcala,Washed / Wet,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,0.11,Green,1450,1450,1450,"April 25th, 2014",84.75,cadexsa,Catuai,1450 msnm
Arabica,El Salvador,santa ana,NA,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,0.15,NA,1200,1200,1200,"August 23rd, 2011",84.75,the coffee source inc.,NA,1200 mts
Arabica,Nicaragua,jinotega,NA,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,0.18,NA,800,1050,925,"May 31st, 2010",84.75,grounds for health admin,NA,800-1050m
Arabica,El Salvador,apaneca,Washed / Wet,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,0,Blue-Green,1350,1350,1350,"June 26th, 2017",84.67,consejo salvadoreño del café,Bourbon,1350
Arabica,Indonesia,"temanggung, indonesia",Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,0.12,Green,1200,1200,1200,"November 24th, 2016",84.67,sanjava coffee,Java,1200
Arabica,Japan,ada okinawa japan,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,0.12,Green,170,170,170,"November 2nd, 2016",84.67,松澤宏樹 koju matsuzawa,Mundo Novo,170
Arabica,Costa Rica,tarrazu,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,0.1,Blue-Green,1150,1150,1150,"October 4th, 2016",84.67,rodrigo soto,Catuai,1150
Arabica,Guatemala,acatenango,Washed / Wet,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,0.1,Green,1600,1600,1600,"June 1st, 2016",84.67,juan luis alvarado romero,Bourbon,1600
